Title,Total Cook Time,Prep Time,Cook Time,Recipe Servings,Difficulty,Ingredients,Image Link
Eggless Banana Pancake Recipe,20 mins,05 mins,15 mins,2,Easy,"1 Cup  all-purpose flour, 1 tbsp sugar, 1 tsp baking powder, A pinch of salt, 1  ripe banana, mashed, 1 cup milk, 2 tbsp melted butter or oil",https://i.ndtvimg.com/i/2015-07/pancake-625_625x350_41435922828.jpg
Leftover Rice Pancakes Recipe,25 mins,10 mins,15 mins,2,Easy,"1 Cup leftover cooked rice, 1 cup all-purpose flour, 1 tbsp granulated sugar, 1 tsp baking powder, 1/2 tsp baking soda, 1/4 tsp salt, 1 cup buttermilk/milk, 1 large egg, 2 tbsp melted butter/oil, 1 tbsp vanilla extract (optional)",https://c.ndtvimg.com/2023-07/o4pnb5j8_leftover-rice-pancakes_625x300_25_July_23.jpg
Desi Style Masala-Cheese Hot Dog Recipe,20 mins,05 mins,15 mins,2,Easy,"4 tsp oil, 2  boiled potatoes, 1 tsp butter, 1  onion , chopped, 1  Tomato, 1  capsicum , chopped, coriander , chopped, 1/2 cup diced paneer, 1 tsp garlic paste, 1 tsp coriander powder, 1 tsp garam masala, 1 tsp red chili powder, Salt to taste, 2 hot dog buns, Tomato sauce, Mint chutney, Mustard sauce, Mayonnaise, 2 cheese slices, Tomato sauce, Salt as per taste",https://c.ndtvimg.com/2023-04/ekp1vv4g_hot-dog_625x300_12_April_23.jpg
Healthy Banana Pancakes Recipe,20 mins,10 mins,10 mins,5,Easy,"2  Ripe Banana, 2  Eggs, 1 tsp vanilla extract, 1/2 cups quick-cook oats, 1 tsp cinnamon",https://c.ndtvimg.com/2019-03/dehgn798_oats-pancakes_625x300_07_March_19.jpg
3 Ingredient Banana Pancake Recipe,10 mins,05 mins,05 mins,2,Easy,"2  Bananas, 2  Eggs, 2 tbsp oats/flour",https://c.ndtvimg.com/2021-04/tg682u28_pancakes_625x300_17_April_21.jpg
Roast Turkey with Cranberry Sauce Recipe,2 hrs 45 mins,15 mins,2 hrs 30 mins,2,Medium,"1  whole turkey, 100 gms butter, 100 gms onion, chopped, 100 gms celery, chopped, 10 gms crumbled sage and thyme, to taste salt and pepper, 10 gms garlic minced, balsamic vinegar, 20 gms sugar, 150 gms cranberry",https://c.ndtvimg.com/2018-12/9c7qbvm_turkey_625x300_13_December_18.jpg
Escabeche Recipe,35 mins,10 mins,25 mins,2,Medium,"30 gms babycorn, 30 gms carrot, 20 gms water chestnuts, 15 ml coconut milk, 20 gms pineapple, 0.5 gms negi (welsh onion), 0.5 gms red quinoa, 2 gms himalayan salt, 0.5 gms black pepper, 20 gms sweet corn, 30  coriander green, 40 gms lemon, 0.5 gms micro green",https://c.ndtvimg.com/2018-11/us1p2tdo_escabeche_625x300_02_November_18.jpg
Jalapeno Cheese Fingers Recipe,45 mins,10 mins,35 mins,2,Easy,"1 Cup Yellow cornmeal, 1 tsp Sugar, 1/2 tsp Baking soda, 1/2 tsp Salt, 1 cup Buttermilk (well-shaken), 1  Egg, 1/4 pound  Cheddar (extra sharp), grated, 1/4 cup Scallion (white and pale green parts only), finely chopped, 1-2 tbsp Pickled jalapenos (drained), finely chopped, 1/4 cup Unsalted butter, melted, Special equipment:, 2  Well-seasoned cast-iron corn-stick pans, (Each with 7 (5- by 1 1/2-inch) molds*, or a well-seasoned 9-inch cast-iron skillet)",https://c.ndtvimg.com/f9tjhjlg_cheese-fingers_625x300_31_August_18.jpg
Shrimp & Cilantro Ceviche Recipe,45 mins,15 mins,30 mins,2,Medium,"80 Gram Prawns, 15 gram Gherkin, 15  Onion, 5 gram Cilantro, 15 gram Mix bell pepper, 15 ml Tiger milk, 25 gram Sweet corn, 2 gram Sea salt, 1 gram Black pepper, 25 ml Green lemon juice, 15 gram Cherry tomato, 2 gram Edible flower, For Tiger milk:, 1 tsp Coriander stems, chopped, 1/2 tsp Celery stalks, 1/4 tsp Garlic, 1/4 tsp Ginger, 1 tsp Red onion, 30 ml Lemon juice, 3-4 gram Sea salt, 2-3 gram Black pepper",https://c.ndtvimg.com/cerviche_625x300_1530013189355.jpg
Strawberry Quinoa Pancakes Recipe,50 mins,10 mins,40 mins,2,Medium,"1 Cup Quinoa, 1/2 cup Milk, 1 tsp Olive oil, 1  Egg (slightly beaten), 1/2 tsp Baking powder, 1/2 tsp Orange essence, 2 tbsp Castor sugar, 2 tbsp Maple syrup, 7-8  Strawberries (to garnish)",https://i.ndtvimg.com/i/2018-02/pancakes_620x350_81518173553.jpg
Linzer Cookies Recipe,30 mins,20 mins,10 mins,4,Medium,"335 Gram Softened butter, 235 gram Breakfast sugar, 112 gram Cashew nut powder, 56 gram Almond powder, 2  Whole eggs, 40 gram Flour, 7 gram Cinnamon powder, 7 gram Baking powder, A pinch of Salt, 1 jar  Raspberry jam, To dust  Icing sugar",https://i.ndtvimg.com/i/2017-12/linzer-cookies_620x330_71513239801.jpg
Christmas Brownies Recipe,1 hr,25 mins,35 mins,10,Medium,"200 gms dark chocolate (best quality, 70% cocoa solids)), 150 gms plain flour, 1 tsp baking powder, A pinch of salt, 120 gms soft butter, unsalted, 200 gms vanilla sugar, 2  Eggs, 1  Egg yolk, 4 tbsp coffee (freshly made, strong), For buttercream:, 140 gms softened butter, 280 gms icing sugar, Edible green colour (few drops)",https://c.ndtvimg.com/2020-11/k6ichd1o_brownie_625x300_25_November_20.jpg
Spooky Lamb Pie With Glazed Carrot Recipe,1 hr 30 mins,15 mins,1 hr 15 mins,5,Medium,"800 Gram Minced Lamb, 60 gram Leeks, chopped, 150 gram Carrot (diced), 75 gram Onion, chopped, Few sprigs  Rosemary, 2 tsp Tomato paste, 2 nos Bay leaf, 2 nos Garlic cloves, 50 gram Butter (for pie), 2 sheets  Puff Pastry, 3 tbsp Plain flour, 3 tbsp Olive oil, to taste Salt, to taste Pepper",https://i.ndtvimg.com/i/2017-10/halloween-recipes_620x350_51509352377.jpg
Mummy Dogs Recipe,40 mins,20 mins,20 mins,4,Medium,"For Breadstick DoughL, 1 cup Warm Water, 3 tbsp Brown Sugar, 1 tbsp Salt, 1/4 cup Oil, 3 cups Bread flour, 2 1/2 tbsp Yeast, For rolls:, 11 Ounce  Breadstick dough (refrigerated), 8  Hot Dogs, Mustard, Poppy Seed",https://i.ndtvimg.com/i/2017-10/halloween-recipes_620x350_51509348371.jpg
Chopped Witch Fingers Recipe,1 hr 05 mins,20 mins,45 mins,2,Medium,"For Onion Jam:, 500 gram Chicken Sausages, 500 gram Onion, sliced, 20 gram Green Chillies, chopped, 30 ml White Wine Vinegar, Oil, For Puff Pastry:, 1000 gram Flour, 20 gram Salt, 200 gram Butter, 50 gram Vinegar, 250 gram Milk, 200 ml Water",https://i.ndtvimg.com/i/2017-10/halloween-recipes_620x350_71509341270.jpg
Beer Chicken Tartar Recipe,40 mins,20 mins,20 mins,4,Easy,"2 pieces of chicken supreme, 4 Tbsp buttermilk, 1 tsp salt, Tartar Sauce:, 4 Tbsp mayonnaise, 1 tsp gherkins, 1 tsp green olives, 1 tsp shallots, 1/2 tsp parsley, to garnish, Batter:, 3 Tbsp corn flour, 1 Tbsp refined flour, 1/2 tsp salt, 1/2 tsp Baking Powder, 5 Tbsp Beer",https://www.ndtv.com/cooks/images/beer%20chick%20tartar.jpg
Classic American Pancakes Recipe,30 mins,05 mins,25 mins,2,Easy,"1 Cup all-purpose flour, 2 1/2 tsp baking powder, 1/2 tsp salt, 3/4 tbsp white sugar, 3/4 cups milk, 1 small egg, 2 tbsp butter, melted, Toppings:, Melted butter, Maple syrup or honey, Mixed berries (or any other mixed fruit of your choice), Sugar, powdered",https://c.ndtvimg.com/2021-04/tg682u28_pancakes_625x300_17_April_21.jpg
All American Carrot Cake Recipe,11 mins,10 mins,01 mins,5,Medium,"140 gm brown sugar, 140 ml oil refined, 500 gm quark cheese, 250 gm icing sugar, 60 gm white butter, 250 gm carrot, 150 gm walnut, 170 gm pineapple, 3 eggs, 11 gm cinnamon powder, 12 gm nutmeg, 10 gm baking powder, 10 gm baking soda, Salt to taste, 230 gm mascarpone cheese",https://www.ndtv.com/cooks/images/carrot-cake-new.jpg
Grilled Herb Chicken Breast with Honey and Asparagus Recipe,1 hr 10 mins,10 mins,1 hr,2,Medium,"Chicken, 1/2 pound chicken breast, skinless, 5 ml honey, 5 ml lemon, A pinch of thyme, Salt to taste, A pinch of black pepper, Sauce, 10 ml red wine, 30 ml brown sauce, A pinch of rosemary, 4 potatoes, boiled and thinly sliced",https://i.ndtvimg.com/i/2017-11/grilled-chicken_620x330_41510657005.jpg
Mint Julep Recipe,15 mins,05 mins,10 mins,2,Easy,"60 ml Jim Beam, 6-8 mint leaves, 3 lemon wedges, 100 gm crushed ice, Sugar to taste",https://www.ndtv.com/cooks/images/mint-julep.jpg
Pancake Recipe,25 mins,05 mins,20 mins,2,Easy,"1/2 cup maida, 1 egg, 1/4 cup milk, Water as required, 1/4 tsp salt, 1 tsp oil, 2 Tbsp oil for cooking the pancakes",https://www.ndtv.com/cooks/images/pancakes-620.jpg
Apple Sausage Plait Recipe,1 hr 10 mins,10 mins,1 hr,4,Medium,"200 gms flour, 100 gms diced chilled butter, 2 egg yolks, 2-3 Tbsp chilled water, For the filling:, 1 Tbsp butter, 2 diced onions, 1 large apple - peeled, cored and diced, grated rind, 1 lime, 1 Tbsp quick cooking oats, 1 tsp dried basil, 1 Tbsp fresh herbs, 2 Tbsp chopped gherkins, 400 gm sausage meat, 1 egg beaten, 1 tsp of milk to glaze",https://www.ndtv.com/cooks/images/apple%20sausage%20plait-620.jpg
Chicken and Fish Burger Recipe,45 mins,15 mins,30 mins,2,Medium,"2 Tbsp ginger-garlic paste, 3 tsp red chili powder, 1 1/2 tsp turmeric powder, 2 tsp coriander powder, Handful of curry leaves, 5 tbsp refined oil, to taste Salt, 100 gms chicken breast, 200 gms fish fillet, 200 gms rice flour (to coat), 2 tbsp mayonnaise, 3 tsp tomato ketchup, 1/2 tsp tabasco, 3  Burger buns, 1  Onion, 3  Tomatoes",https://www.ndtv.com/cooks/images/chicken%20and%20fish%2065%20burger%E2%80%99s.jpg
Chocolate Chip Cheesecake Recipe,50 mins,10 mins,40 mins,7,Easy,"For the base:, 18  Butter biscuits (broken into pieces), 75 gram Butter (softened), For the cheesecake:, 226 gram Cream cheese (softened), 5 tbsp Sugar, powdered, 1  Egg, 2 drops  Rose essence or Vanilla essence, 5 tbsp Chocolate chips",https://c.ndtvimg.com/2020-12/5ngs1rh8_chocolate-cake_625x300_21_December_20.jpg
Eggless Coffee Cupcakes Recipe,1 hr  10 seconds,15 mins 10 seconds,45 mins,4,Medium,"Dry ingredients:, 1 cup Maida/ flour, 1 tsp Baking powder, 3/4 cup Sugar, powdered, 1 1/2 tbsp Cocoa powder, Wet ingredients:, 1/2 tsp Vanilla essence, 5 tbsp Butter (softened, salted. In case you are using unsalted butter, add 1/4 tsp salt), 3/4 cup Milk (to make the batter smooth. Adjust the milk quantity according to your batter's smoothness), 1 tbsp Coffee powder + 1 tsp water, to make a paste (You can increase or decrease according to your coffee tolerance)",https://c.ndtvimg.com/2018-09/ebccjptg_cupcake_625x300_28_September_18.jpg
Potato Chicken Stew Recipe,55 mins,10 mins,45 mins,5,Medium,"1 Kg chicken, 4 tsp white vinegar, 1  Potato (cubed), 1  onion, chopped, 1 tsp garlic, chopped, 1 tsp ginger, chopped, 2  green chilies, chopped, 4  Green cardamoms, 4-5  Cloves, 1 inch  cinnamon, 2 cups coconut milk, 8-10  Curry leaves, 4 tsp oil, to taste salt",https://c.ndtvimg.com/2018-09/3l4e792_chicken-stew_625x300_13_September_18.jpg
Potato Corn Burgers Recipe,50 mins,15 mins,35 mins,4,Medium,"4 Tbsp Olive oil, 1/2  Leek, 1/3 cup Celery, chopped, 1/2  Onion, chopped, 1 cup Corn kernels (frozen), Few sprigs  Thyme, Few  Coriander leaves, 2 large Potatoes (peeled), roasted, 5-6 pieces Jalapenos (pickled), 1 tsp Garlic chives, chopped, 75 gram Feta cheese, 1 tbsp Corn flour, 2 tbsp Milk, 1 cup Bread crumbs, 4-5 tbsp Oil (for frying), 1  Tomato, 1  Lettuce leaf, Few  Gherkins, 3-4  Tomatoes",https://www.ndtv.com/cooks/images/Potato.Corn.Burgers.Large.jpg
Crumb-Fried Chicken Recipe,35 mins,10 mins,25 mins,6,Easy,"1 chicken - cut into 6 pieces, 2 eggs, 1 Tbsp garlic paste, 1/4 cup refined flour, Dash of black pepper, 1 Tbsp salt or to taste, Powdered bread crumbs to coat the chicken, Oil for deep-frying",https://c.ndtvimg.com/2019-01/auhf5aq_fried-chicken_625x300_28_January_19.jpg
